Arup





File 221109 HPC_Full model v7-4 - v40 for Roof-v1.gwb
Exported 10/02/2023 14:29:48

GSA 10.1.63.64 64-bit Copyright © Oasys 1985-2022

Beam and Spring Forces and Moments
The force in an element at any point is the force required to maintain
equilibrium if the element is cut at that point and the end 2 part of the
element is discarded.  Thus:     +ve axial forces are tensile
Forces and moments are output in element axis directions
i.e. Fx: axial force;  Fy & Fz: shear forces;  Mxx: torsion;  Myy & Mzz: moments
Element axes for springs are as defined by the spring property axis no.
For Response Spectrum analysis cases only results calculated in the analysis are available and these are only available in the axes in which they were calculated.
e.g. element displacements are only available in global directions; 2D element stresses are only available in local directions; principal stresses are not reported.
For Response Spectrum analysis cases only the sum of Total Reactions are reported.
All components are enveloped.  Components are not coexistent.
Member list:  7416 7502 7526 7527 7528 7530 7531 7534 to 7537 7539 7540 7543 to 7553 7568 to 7576 7578 to 7604 7791 7794 7795 8022 8023 8024 8037 to 8043 8276 to 8279 9172 9239 9241 to 9251 9264 9265 9266 9281 9292 9293 9342 to 9345 9516 to 9525 9533 to 9543 9545 to 9557 9572 to 9575 9848 10035 to 10039 10041 to 10045 10052 to 10059 10066 10107 to 10118 10196 10197 10198 10201 to 10204 10296 10299 10323 10324 10329 10330 10851 to 10854 10875 10876 10877 10880 10885 11049 11050 11051 11082 to 11090 11115 to 11118 11124 11125 11130 11131 11136 to 11144 11480 11481 11509 to 11514 11537 11538 11539 11576 11577 11581 11582 11970 11971 11979 11980 49145 49146 49173 49174 49193 49196 49220 49223
Case list:  C94 : ENV
Refer to Combination Case and Envelope Details for details of enveloping permutations.

START_TABLE Beam and Spring Forces and Moments
,,,,,[kN],,[kN],,[kN],,[kNm],,[kNm],,[kNm],,[kN],,[kNm],
Memb,Case,Node,Pos,Env,Fx,Fx Perm,Fy,Fy Perm,Fz,Fz Perm,Mxx,Mxx Perm,Myy,Myy Perm,Mzz,Mzz Perm,|Fyz|,|Fyz| Perm,|Myz|,|Myz| Perm
9546,C94,,16.7%,Min,-660.6,P3,-3.878,P3,-277.3,P6,-4.396,P5,-93.64,P5,-2.211,P9,103.5,P4,8.367,P2
9546,C94,,20.8%,Max,698.7,P2,1.785,P2,-100.1,P4,5.364,P4,-25.44,P4,1.130,P2,272.7,P6,140.4,P8
9546,C94,,20.8%,Min,-660.6,P3,-3.878,P3,-272.7,P6,-4.396,P5,-140.4,P8,-2.112,P3,100.1,P4,25.44,P4
9546,C94,,25.0%,Max,698.7,P2,1.785,P2,-96.77,P4,5.364,P4,-89.45,P4,2.118,P2,268.2,P6,234.8,P30
9546,C94,,25.0%,Min,-660.6,P3,-3.878,P3,-268.2,P6,-4.396,P5,-234.8,P30,-2.351,P3,96.77,P4,89.46,P4
9546,C94,,29.2%,Max,698.7,P2,1.785,P2,-93.40,P4,5.364,P4,-152.2,P4,3.106,P2,263.6,P6,328.6,P30
9546,C94,,29.2%,Min,-660.6,P3,-3.878,P3,-263.6,P6,-4.396,P5,-328.6,P30,-2.589,P3,93.40,P4,152.3,P4
9546,C94,,33.3%,Max,698.7,P2,1.785,P2,-90.03,P4,5.364,P4,-198.4,P88,4.094,P2,259.1,P6,421.0,P6
9546,C94,,33.3%,Min,-660.6,P3,-3.878,P3,-259.1,P6,-4.396,P5,-421.0,P6,-2.827,P3,90.03,P4,198.4,P88
9546,C94,,33.3%,Max,657.6,P2,15.19,P9,47.07,P4,-1.779,P69,-204.6,P76,11.12,P9,47.75,P4,433.1,P32
9546,C94,,33.3%,Min,-551.6,P3,-7.411,P81,-23.65,P5,-9.247,P25,-433.1,P32,-5.158,P81,2.604,P48,204.6,P76
9546,C94,,37.5%,Max,657.6,P2,15.19,P9,50.44,P4,-1.779,P69,-203.0,P65,5.816,P2,51.08,P4,424.8,P32
9546,C94,,37.5%,Min,-551.6,P3,-7.411,P81,-20.28,P5,-9.247,P25,-424.8,P32,-2.504,P81,2.629,P3,203.0,P65
9546,C94,,41.7%,Max,657.6,P2,15.19,P9,53.81,P4,-1.779,P69,-194.7,P89,3.918,P2,54.41,P4,415.0,P32
9546,C94,,41.7%,Min,-551.6,P3,-7.411,P81,-16.90,P5,-9.247,P25,-415.0,P32,-3.053,P3,0.7526,P3,194.7,P89
9546,C94,,45.8%,Max,657.6,P2,15.19,P9,57.18,P4,-1.779,P69,-184.0,P4,2.808,P80,57.74,P4,403.4,P32
9546,C94,,45.8%,Min,-551.6,P3,-7.411,P81,-13.53,P5,-9.247,P25,-403.4,P32,-5.194,P9,4.118,P3,184.0,P4
9546,C94,,50.0%,Max,657.6,P2,15.19,P9,60.55,P4,-1.779,P69,-171.0,P4,5.458,P81,61.08,P4,391.3,P6
9546,C94,,50.0%,Min,-551.6,P3,-7.411,P81,-10.16,P5,-9.247,P25,-391.3,P6,-10.63,P9,7.488,P3,171.0,P4
9546,C94,,50.0%,Max,577.9,P2,3.473,P2,67.02,P4,-3.242,P69,-167.9,P4,2.229,P73,67.05,P4,387.9,P6
9546,C94,,50.0%,Min,-438.5,P3,-3.276,P3,0.1665,P5,-10.82,P25,-387.9,P6,-2.737,P93,1.759,P5,168.0,P4
9546,C94,,54.2%,Max,577.9,P2,3.473,P2,70.39,P4,-3.242,P69,-144.1,P4,2.950,P73,70.42,P4,368.4,P6
9546,C94,,54.2%,Min,-438.5,P3,-3.276,P3,3.538,P5,-10.82,P25,-368.4,P6,-3.549,P93,3.948,P5,144.1,P4
9546,C94,,58.3%,Max,577.9,P2,3.473,P2,74.71,P9,-3.242,P69,-119.0,P4,3.671,P73,74.75,P9,347.2,P6
9546,C94,,58.3%,Min,-438.5,P3,-3.276,P3,6.909,P5,-10.82,P25,-347.2,P6,-4.362,P93,7.128,P5,119.1,P4
9546,C94,,62.5%,Max,577.9,P2,3.473,P2,79.26,P9,-3.242,P69,-92.78,P4,4.393,P73,79.29,P9,324.4,P6
9546,C94,,62.5%,Min,-438.5,P3,-3.276,P3,10.28,P5,-10.82,P25,-324.4,P6,-5.175,P93,10.43,P5,92.82,P4
9546,C94,,66.7%,Max,577.9,P2,3.473,P2,83.81,P9,-3.242,P69,-65.31,P4,5.114,P73,83.84,P9,300.0,P6
9546,C94,,66.7%,Min,-438.5,P3,-3.276,P3,13.65,P5,-10.82,P25,-300.0,P6,-5.991,P92,13.76,P5,65.38,P4
9546,C94,,66.7%,Max,584.3,P9,33.76,P2,306.8,P8,-8.280,P85,-47.65,P4,21.93,P2,307.6,P8,268.9,P6
9546,C94,,66.7%,Min,-357.5,P81,-19.03,P3,127.6,P72,-26.23,P33,-268.9,P6,-10.94,P3,128.2,P72,50.58,P4
9546,C94,,71.3%,Max,584.3,P9,33.76,P2,311.8,P8,-8.280,P85,25.35,P4,21.29,P2,312.6,P8,169.3,P5
9546,C94,,71.3%,Min,-357.5,P81,-19.03,P3,131.4,P72,-26.23,P33,-168.8,P5,-16.11,P3,131.9,P72,29.33,P89
9546,C94,,75.8%,Max,584.3,P9,33.76,P2,316.8,P8,-8.280,P85,99.83,P4,20.64,P2,317.6,P8,111.8,P5
9546,C94,,75.8%,Min,-357.5,P81,-19.03,P3,135.1,P72,-26.23,P33,-110.0,P5,-21.27,P3,135.6,P72,4.632,P42
9546,C94,,80.4%,Max,584.3,P9,33.76,P2,321.8,P8,-8.280,P85,175.8,P4,20.59,P4,322.6,P8,177.0,P4
9546,C94,,80.4%,Min,-357.5,P81,-19.03,P3,138.8,P72,-26.23,P33,-49.67,P5,-27.03,P5,139.3,P72,15.65,P72
9546,C94,,85.0%,Max,584.3,P9,33.76,P2,326.8,P8,-8.280,P85,266.0,P9,21.81,P4,327.6,P8,267.7,P9
9546,C94,,85.0%,Min,-357.5,P81,-19.03,P3,142.5,P72,-26.23,P33,12.09,P5,-34.06,P5,143.0,P72,36.14,P5
9546,C94,,85.0%,Max,684.3,P9,40.28,P9,277.5,P8,10.96,P4,297.6,P8,14.27,P4,279.6,P8,297.6,P8
9546,C94,,85.0%,Min,-370.9,P81,-10.85,P81,117.2,P72,0.1305,P5,26.42,P5,-8.202,P5,117.3,P76,27.66,P5
9546,C94,,88.8%,Max,684.3,P9,40.28,P9,281.6,P8,10.96,P4,387.6,P8,11.17,P4,283.7,P8,387.7,P8
9546,C94,,88.8%,Min,-370.9,P81,-10.85,P81,120.3,P72,0.1305,P5,71.59,P5,-15.31,P5,120.3,P76,73.21,P5
9546,C94,,92.5%,Max,684.3,P9,40.28,P9,285.7,P8,10.96,P4,478.9,P8,12.36,P81,287.7,P8,479.3,P8
9546,C94,,92.5%,Min,-370.9,P81,-10.85,P81,123.3,P72,0.1305,P5,117.7,P5,-27.02,P9,123.3,P72,119.9,P5
9546,C94,,96.3%,Max,684.3,P9,40.28,P9,289.8,P8,10.96,P4,571.5,P8,15.85,P81,291.8,P8,572.4,P8
9546,C94,,96.3%,Min,-370.9,P81,-10.85,P81,126.3,P72,0.1305,P5,164.9,P5,-39.98,P9,126.4,P72,167.5,P5
9546,C94,4882,100.0%,Max,684.3,P9,40.28,P9,293.9,P8,10.96,P4,665.5,P8,19.34,P81,295.9,P8,666.8,P8
9546,C94,4882,100.0%,Min,-370.9,P81,-10.85,P81,129.4,P72,0.1305,P5,213.0,P5,-52.95,P9,129.4,P72,216.1,P5
9547,C94,5089,0.0%,Max,831.9,P2,5.636,P2,-116.1,P4,0.1447,P4,352.1,P6,4.505,P2,316.9,P6,352.1,P6
9547,C94,5089,0.0%,Min,-752.7,P3,-18.49,P3,-316.9,P6,-11.96,P6,22.08,P5,-15.28,P3,116.1,P4,24.92,P5
9547,C94,,4.2%,Max,831.9,P2,5.636,P2,-112.8,P4,0.1447,P4,251.1,P4,6.062,P2,312.5,P6,251.1,P4
9547,C94,,4.2%,Min,-752.7,P3,-18.49,P3,-312.4,P6,-11.96,P6,-18.46,P5,-12.35,P3,112.8,P4,20.52,P5
9547,C94,,8.3%,Max,831.9,P2,5.636,P2,-109.5,P4,0.1447,P4,174.4,P4,7.618,P2,308.0,P6,174.5,P4
9547,C94,,8.3%,Min,-752.7,P3,-18.49,P3,-308.0,P6,-11.96,P6,-57.86,P5,-9.424,P3,109.6,P4,9.480,P3
9547,C94,,12.5%,Max,831.9,P2,5.636,P2,-106.3,P4,0.1447,P4,98.91,P4,9.174,P2,303.6,P6,99.12,P4
9547,C94,,12.5%,Min,-752.7,P3,-18.49,P3,-303.6,P6,-11.96,P6,-96.11,P5,-6.498,P3,106.3,P4,2.302,P39
9547,C94,,16.7%,Max,831.9,P2,5.636,P2,-103.0,P4,0.1447,P4,24.54,P4,10.73,P2,299.2,P6,133.2,P5
9547,C94,,16.7%,Min,-752.7,P3,-18.49,P3,-299.1,P6,-11.96,P6,-133.2,P5,-3.572,P3,103.0,P4,18.31,P2
9547,C94,,16.7%,Max,804.9,P2,4.389,P2,-91.50,P4,1.741,P4,17.40,P4,2.269,P9,271.0,P6,136.5,P5
9547,C94,,16.7%,Min,-696.0,P3,-2.828,P3,-271.0,P6,-7.209,P6,-136.5,P5,-0.3088,P81,91.54,P4,17.47,P4
9547,C94,,20.8%,Max,804.9,P2,4.389,P2,-88.21,P4,1.741,P4,-45.83,P4,2.486,P2,266.6,P6,195.6,P8
9547,C94,,20.8%,Min,-696.0,P3,-2.828,P3,-266.6,P6,-7.209,P6,-195.6,P8,-1.241,P3,88.26,P4,45.87,P4
9547,C94,,25.0%,Max,804.9,P2,4.389,P2,-84.93,P4,1.741,P4,-107.9,P4,3.346,P2,262.2,P6,282.3,P8
9547,C94,,25.0%,Min,-696.0,P3,-2.828,P3,-262.2,P6,-7.209,P6,-282.3,P8,-2.646,P3,84.98,P4,107.9,P4
9547,C94,,29.2%,Max,804.9,P2,4.389,P2,-81.65,P4,1.741,P4,-168.9,P4,4.206,P2,257.7,P6,368.9,P33
9547,C94,,29.2%,Min,-696.0,P3,-2.828,P3,-257.7,P6,-7.209,P6,-368.9,P33,-4.051,P3,81.70,P4,168.9,P4
9547,C94,,33.3%,Max,804.9,P2,4.389,P2,-78.36,P4,1.741,P4,-215.7,P60,5.067,P2,253.3,P6,455.5,P33
9547,C94,,33.3%,Min,-696.0,P3,-2.828,P3,-253.3,P6,-7.209,P6,-455.5,P33,-5.455,P3,78.42,P4,215.7,P60
9547,C94,,33.3%,Max,804.7,P2,6.243,P81,56.93,P4,9.196,P25,-213.5,P72,4.315,P81,56.94,P4,459.2,P33
9547,C94,,33.3%,Min,-615.2,P3,-17.81,P9,-17.63,P5,3.104,P57,-459.2,P33,-13.73,P9,4.002,P72,213.5,P72
9547,C94,,37.5%,Max,804.7,P2,6.243,P81,60.22,P4,9.196,P25,-211.6,P48,3.635,P2,60.22,P4,445.5,P33
9547,C94,,37.5%,Min,-615.2,P3,-17.81,P9,-14.34,P5,3.104,P57,-445.5,P33,-9.224,P3,6.504,P72,211.6,P48
9547,C94,,41.7%,Max,804.7,P2,6.243,P81,63.50,P4,9.196,P25,-203.1,P4,4.699,P2,63.50,P4,430.2,P33
9547,C94,,41.7%,Min,-615.2,P3,-17.81,P9,-11.06,P5,3.104,P57,-430.2,P33,-6.277,P3,9.495,P72,203.1,P4
9547,C94,,45.8%,Max,804.7,P2,6.243,P81,66.79,P4,9.196,P25,-191.1,P4,5.764,P2,66.79,P4,413.5,P31
9547,C94,,45.8%,Min,-615.2,P3,-17.81,P9,-7.777,P5,3.104,P57,-413.4,P31,-3.331,P3,12.63,P72,191.1,P4
9547,C94,,50.0%,Max,804.7,P2,6.243,P81,70.07,P4,9.196,P25,-177.2,P89,11.12,P9,70.07,P4,397.8,P6
9547,C94,,50.0%,Min,-615.2,P3,-17.81,P9,-4.493,P5,3.104,P57,-397.8,P6,-4.396,P81,12.86,P5,177.5,P89
9547,C94,,50.0%,Max,748.2,P2,4.110,P2,78.69,P8,10.61,P25,-174.8,P4,1.810,P2,78.72,P8,394.1,P6
9547,C94,,50.0%,Min,-524.5,P3,-4.833,P3,5.197,P5,4.068,P69,-394.1,P6,-1.797,P3,5.993,P5,174.8,P4
9547,C94,,54.2%,Max,748.2,P2,4.110,P2,83.12,P8,10.61,P25,-149.0,P4,2.793,P2,83.15,P8,371.0,P6
9547,C94,,54.2%,Min,-524.5,P3,-4.833,P3,8.481,P5,4.068,P69,-371.0,P6,-2.528,P3,8.991,P5,149.0,P4
9547,C94,,58.3%,Max,748.2,P2,4.110,P2,87.56,P8,10.61,P25,-122.0,P4,3.775,P2,87.59,P8,346.4,P6
9547,C94,,58.3%,Min,-524.5,P3,-4.833,P3,11.76,P5,4.068,P69,-346.4,P6,-3.259,P3,12.14,P5,122.1,P4
9547,C94,,62.5%,Max,748.2,P2,4.110,P2,91.99,P8,10.61,P25,-93.94,P4,4.758,P2,92.02,P8,320.3,P6
9547,C94,,62.5%,Min,-524.5,P3,-4.833,P3,15.05,P5,4.068,P69,-320.3,P6,-3.990,P3,15.34,P5,93.99,P4
9547,C94,,66.7%,Max,748.2,P2,4.110,P2,96.42,P8,10.61,P25,-64.69,P4,5.845,P84,96.45,P8,292.6,P6
9547,C94,,66.7%,Min,-524.5,P3,-4.833,P3,18.33,P5,4.068,P69,-292.6,P6,-4.756,P81,18.57,P5,64.80,P4
9547,C94,,66.7%,Max,734.2,P84,19.99,P4,311.4,P8,21.22,P6,-51.20,P4,11.54,P2,312.3,P8,267.7,P6
9547,C94,,66.7%,Min,-435.3,P81,-35.64,P5,131.9,P72,5.847,P85,-267.7,P6,-24.87,P3,132.6,P72,51.86,P4
9547,C94,,71.3%,Max,734.2,P84,19.99,P4,316.3,P8,21.22,P6,22.63,P4,16.18,P2,317.1,P8,167.3,P5
9547,C94,,71.3%,Min,-435.3,P81,-35.64,P5,135.6,P72,5.847,P85,-165.9,P5,-23.49,P3,136.2,P72,26.98,P4
9547,C94,,75.8%,Max,734.2,P84,19.99,P4,321.2,P8,21.22,P6,97.84,P4,21.17,P4,322.0,P8,111.2,P5
9547,C94,,75.8%,Min,-435.3,P81,-35.64,P5,139.2,P72,5.847,P85,-108.9,P5,-22.48,P5,139.8,P72,4.334,P44
9547,C94,,80.4%,Max,734.2,P84,19.99,P4,326.1,P8,21.22,P6,174.4,P4,27.64,P4,326.9,P8,176.6,P4
9547,C94,,80.4%,Min,-435.3,P81,-35.64,P5,142.8,P72,5.847,P85,-50.61,P5,-22.94,P5,143.4,P72,15.30,P70
9547,C94,,85.0%,Max,734.2,P84,19.99,P4,330.9,P8,21.22,P6,260.0,P8,34.11,P4,331.7,P8,261.3,P9
9547,C94,,85.0%,Min,-435.3,P81,-35.64,P5,146.4,P72,5.847,P85,9.109,P5,-23.40,P5,147.0,P72,25.11,P5
9547,C94,,85.0%,Max,867.3,P9,27.02,P81,287.3,P8,0.8228,P4,289.1,P8,14.56,P4,292.5,P8,289.1,P8
9547,C94,,85.0%,Min,-457.9,P81,-68.82,P9,121.3,P72,-9.999,P5,21.58,P5,-20.33,P5,121.7,P72,29.65,P5
9547,C94,,88.8%,Max,867.3,P9,27.02,P81,291.3,P8,0.8228,P4,379.8,P8,25.56,P4,296.5,P8,380.2,P8
9547,C94,,88.8%,Min,-457.9,P81,-68.82,P9,124.3,P72,-9.999,P5,66.29,P5,-17.70,P5,124.6,P72,68.61,P5
9547,C94,,92.5%,Max,867.3,P9,27.02,P81,295.3,P8,0.8228,P4,471.8,P8,45.78,P9,300.4,P8,473.0,P8
9547,C94,,92.5%,Min,-457.9,P81,-68.82,P9,127.2,P72,-9.999,P5,111.9,P5,-21.92,P81,127.6,P72,112.9,P5
9547,C94,,96.3%,Max,867.3,P9,27.02,P81,299.3,P8,0.8228,P4,565.0,P8,67.36,P9,304.3,P8,567.3,P8
9547,C94,,96.3%,Min,-457.9,P81,-68.82,P9,130.2,P72,-9.999,P5,158.5,P5,-30.39,P81,130.5,P72,159.0,P5
9547,C94,4883,100.0%,Max,867.3,P9,27.02,P81,303.3,P8,0.8228,P4,659.5,P8,88.94,P9,308.2,P8,663.0,P8
9547,C94,4883,100.0%,Min,-457.9,P81,-68.82,P9,133.1,P72,-9.999,P5,206.0,P5,-38.87,P81,133.4,P72,206.2,P5
9548,C94,4885,0.0%,Max,527.7,P2,25.05,P2,-120.3,P57,-1.427,P2,698.1,P24,22.91,P2,383.1,P24,698.4,P24
9548,C94,4885,0.0%,Min,-504.6,P3,-42.72,P3,-382.5,P24,-11.59,P24,143.4,P3,-43.21,P3,120.4,P57,149.7,P3
9548,C94,,6.3%,Max,527.7,P2,25.05,P2,-116.1,P57,-1.427,P2,527.3,P24,25.62,P2,377.3,P24,527.5,P24
9548,C94,,6.3%,Min,-504.6,P3,-42.72,P3,-376.8,P24,-11.59,P24,73.84,P3,-37.97,P3,116.2,P57,83.03,P3
9548,C94,,12.5%,Max,527.7,P2,25.05,P2,-111.9,P57,-1.427,P2,359.1,P24,28.34,P2,371.6,P24,359.1,P24
9548,C94,,12.5%,Min,-504.6,P3,-42.72,P3,-371.0,P24,-11.59,P24,6.213,P3,-32.73,P3,111.9,P57,27.42,P5
9548,C94,,18.8%,Max,527.7,P2,25.05,P2,-107.6,P57,-1.427,P2,240.6,P2,31.05,P2,365.9,P24,242.6,P2
9548,C94,,18.8%,Min,-504.6,P3,-42.72,P3,-365.3,P24,-11.59,P24,-59.51,P3,-27.50,P3,107.7,P57,3.410,P57
9548,C94,,25.0%,Max,527.7,P2,25.05,P2,-103.4,P57,-1.427,P2,142.0,P2,33.76,P2,360.2,P24,146.0,P2
9548,C94,,25.0%,Min,-504.6,P3,-42.72,P3,-359.6,P24,-11.59,P24,-123.3,P3,-22.26,P3,103.5,P57,2.752,P76
9548,C94,,25.0%,Max,481.8,P2,6.795,P2,-56.31,P57,-5.584,P2,105.2,P2,4.007,P2,234.6,P24,151.5,P3
9548,C94,,25.0%,Min,-477.3,P3,-11.92,P3,-234.5,P24,-16.70,P33,-151.1,P3,-10.10,P3,56.33,P57,3.855,P91
9548,C94,,31.2%,Max,481.8,P2,6.795,P2,-52.07,P57,-5.584,P2,37.52,P2,5.884,P2,228.9,P24,187.2,P3
9548,C94,,31.2%,Min,-477.3,P3,-11.92,P3,-228.8,P24,-16.70,P33,-187.0,P3,-9.676,P3,52.09,P57,25.41,P4
9548,C94,,37.5%,Max,481.8,P2,6.795,P2,-47.84,P57,-5.584,P2,-28.21,P2,7.761,P2,223.2,P24,247.4,P6
9548,C94,,37.5%,Min,-477.3,P3,-11.92,P3,-223.1,P24,-16.70,P33,-247.4,P6,-9.249,P3,47.86,P57,29.26,P2
9548,C94,,43.7%,Max,481.8,P2,6.795,P2,-43.60,P57,-5.584,P2,-92.04,P2,9.638,P2,217.5,P24,339.1,P24
9548,C94,,43.7%,Min,-477.3,P3,-11.92,P3,-217.4,P24,-16.70,P33,-339.1,P24,-8.821,P3,43.62,P57,92.54,P2
9548,C94,,50.0%,Max,481.8,P2,6.795,P2,-39.37,P57,-5.584,P2,-152.2,P56,11.51,P2,211.7,P24,435.7,P24
9548,C94,,50.0%,Min,-477.3,P3,-11.92,P3,-211.6,P24,-16.70,P33,-435.6,P24,-8.394,P3,39.39,P57,152.2,P56
9548,C94,,50.0%,Max,501.2,P2,11.86,P2,161.2,P33,37.11,P22,-134.4,P56,9.477,P2,161.2,P33,414.5,P24
9548,C94,,50.0%,Min,-493.7,P3,-19.73,P3,10.30,P60,14.35,P81,-414.4,P24,-17.91,P3,18.57,P60,134.5,P56
9548,C94,,56.2%,Max,501.2,P2,11.86,P2,166.9,P33,37.11,P22,-86.80,P57,11.53,P2,166.9,P33,358.3,P24
9548,C94,,56.2%,Min,-493.7,P3,-19.73,P3,14.53,P60,14.35,P81,-358.3,P24,-16.43,P3,21.21,P60,86.82,P57
9548,C94,,62.5%,Max,501.2,P2,11.86,P2,172.6,P33,37.11,P22,-36.95,P57,13.59,P2,172.6,P33,299.6,P24
9548,C94,,62.5%,Min,-493.7,P3,-19.73,P3,18.77,P60,14.35,P81,-299.6,P24,-14.94,P3,24.31,P60,36.96,P57
9548,C94,,68.7%,Max,501.2,P2,11.86,P2,178.3,P33,37.11,P22,14.80,P57,15.65,P2,178.4,P33,248.9,P12
9548,C94,,68.7%,Min,-493.7,P3,-19.73,P3,23.00,P60,14.35,P81,-248.9,P12,-13.46,P3,27.71,P60,5.626,P80
9548,C94,,75.0%,Max,501.2,P2,11.86,P2,184.0,P33,37.11,P22,68.46,P57,17.71,P2,184.1,P33,197.9,P12
9548,C94,,75.0%,Min,-493.7,P3,-19.73,P3,27.24,P60,14.35,P81,-197.6,P12,-11.97,P3,31.32,P60,0.5088,P43
9548,C94,,75.0%,Max,463.7,P2,10.10,P2,279.5,P33,-0.7428,P58,93.32,P57,6.514,P2,279.6,P33,170.5,P12
9548,C94,,75.0%,Min,-470.6,P3,-18.82,P3,59.65,P60,-11.17,P6,-170.2,P12,-13.50,P3,61.25,P60,0.3192,P71
9548,C94,,81.3%,Max,463.7,P2,10.10,P2,285.3,P33,-0.7428,P58,164.7,P57,10.02,P2,285.3,P33,164.7,P57
9548,C94,,81.3%,Min,-470.6,P3,-18.82,P3,63.88,P60,-11.17,P6,-142.2,P60,-13.08,P3,65.39,P60,1.999,P93
9548,C94,,87.5%,Max,463.7,P2,10.10,P2,291.0,P33,-0.7428,P58,261.7,P21,13.52,P2,291.0,P33,261.7,P21
9548,C94,,87.5%,Min,-470.6,P3,-18.82,P3,68.12,P60,-11.17,P6,-112.6,P60,-12.66,P3,69.53,P60,4.643,P52
9548,C94,,93.8%,Max,463.7,P2,10.10,P2,296.7,P33,-0.7428,P58,388.1,P21,17.02,P2,296.7,P33,388.1,P21
9548,C94,,93.8%,Min,-470.6,P3,-18.82,P3,72.36,P60,-11.17,P6,-80.95,P60,-12.24,P3,73.68,P60,6.615,P41
9548,C94,4886,100.0%,Max,463.7,P2,10.10,P2,302.4,P33,-0.7428,P58,517.1,P21,20.52,P2,302.4,P33,517.1,P21
9548,C94,4886,100.0%,Min,-470.6,P3,-18.82,P3,76.59,P60,-11.17,P6,-47.45,P60,-11.82,P3,77.85,P60,20.17,P36
9549,C94,5990,0.0%,Max,56.07,P2,2.416,P4,-187.0,P60,1.939,P2,590.1,P6,2.558,P4,466.7,P31,590.1,P6
9549,C94,5990,0.0%,Min,-103.4,P3,-5.715,P5,-466.7,P31,-1.608,P3,223.7,P3,-5.588,P5,187.0,P60,223.8,P3
9549,C94,,6.6%,Max,56.07,P2,2.416,P4,-182.7,P60,1.939,P2,379.9,P6,3.140,P4,460.9,P31,379.9,P6
9549,C94,,6.6%,Min,-103.4,P3,-5.715,P5,-460.9,P31,-1.608,P3,127.8,P3,-4.665,P5,182.7,P60,127.8,P3
9549,C94,,13.2%,Max,56.07,P2,2.416,P4,-178.4,P60,1.939,P2,172.4,P6,3.722,P4,455.1,P31,172.4,P6
9549,C94,,13.2%,Min,-103.4,P3,-5.715,P5,-455.1,P31,-1.608,P3,33.79,P3,-3.742,P5,178.4,P60,33.97,P3
9549,C94,,19.8%,Max,56.07,P2,2.416,P4,-174.1,P60,1.939,P2,17.18,P2,4.304,P4,449.3,P31,58.27,P3
9549,C94,,19.8%,Min,-103.4,P3,-5.715,P5,-449.3,P31,-1.608,P3,-58.22,P3,-2.818,P5,174.1,P60,5.992,P53
9549,C94,,26.4%,Max,56.07,P2,2.416,P4,-169.8,P60,1.939,P2,-88.69,P49,4.887,P4,443.5,P31,248.6,P33
9549,C94,,26.4%,Min,-103.4,P3,-5.715,P5,-443.5,P31,-1.608,P3,-248.6,P33,-1.895,P5,169.8,P60,88.71,P49
9549,C94,,26.4%,Max,8.020,P4,2.068,P4,-143.4,P2,2.047,P7,-116.5,P48,1.691,P4,381.1,P31,317.1,P33
9549,C94,,26.4%,Min,-58.83,P5,-4.559,P5,-381.1,P31,-0.7144,P5,-317.1,P33,-3.591,P5,143.4,P2,116.5,P48
9549,C94,,33.0%,Max,8.020,P4,2.068,P4,-139.1,P2,2.047,P7,-184.8,P48,2.455,P4,375.3,P31,489.3,P33
9549,C94,,33.0%,Min,-58.83,P5,-4.559,P5,-375.3,P31,-0.7144,P5,-489.3,P33,-3.219,P5,139.1,P2,184.8,P48
9549,C94,,39.6%,Max,8.020,P4,2.068,P4,-134.8,P2,2.047,P7,-251.2,P48,3.220,P4,369.5,P31,658.8,P33
9549,C94,,39.6%,Min,-58.83,P5,-4.559,P5,-369.5,P31,-0.7144,P5,-658.8,P33,-2.847,P5,134.8,P2,251.2,P48
9549,C94,,46.2%,Max,8.020,P4,2.068,P4,-130.5,P2,2.047,P7,-314.2,P2,3.985,P4,363.7,P31,825.7,P33
9549,C94,,46.2%,Min,-58.83,P5,-4.559,P5,-363.7,P31,-0.7144,P5,-825.7,P33,-2.475,P5,130.5,P2,314.3,P2
9549,C94,,52.8%,Max,8.020,P4,2.068,P4,-126.2,P2,2.047,P7,-373.6,P2,4.749,P4,357.9,P31,990.0,P33
9549,C94,,52.8%,Min,-58.83,P5,-4.559,P5,-357.9,P31,-0.7144,P5,-990.0,P33,-2.103,P5,126.2,P2,373.6,P2
9549,C94,,52.8%,Max,-10.19,P55,2.517,P4,319.3,P24,8.334,P7,-355.4,P2,1.983,P4,319.3,P24,964.7,P33
9549,C94,,52.8%,Min,-60.88,P25,-3.743,P5,112.2,P69,-0.8177,P68,-964.7,P33,-2.831,P5,112.2,P69,355.4,P2
9549,C94,,58.7%,Max,-10.19,P55,2.517,P4,324.5,P24,8.334,P7,-282.1,P2,2.315,P4,324.5,P24,840.7,P33
9549,C94,,58.7%,Min,-60.88,P25,-3.743,P5,116.0,P69,-0.8177,P68,-840.7,P33,-2.662,P5,116.0,P69,282.1,P2
9549,C94,,64.6%,Max,-10.19,P55,2.517,P4,329.7,P24,8.334,P7,-207.2,P2,2.647,P4,329.7,P24,714.5,P33
